Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Tururu;BATATAS;-3.4847222222222;-39.412777777778;2022;7;13.3;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.3
Tururu;BATATAS;-3.4847222222222;-39.412777777778;2022;8;5.7;0.0;0.0;0.3;5.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tururu;BATATAS;-3.4847222222222;-39.412777777778;2022;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Tururu;BATATAS;-3.4847222222222;-39.412777777778;2022;10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tururu;BATATAS;-3.4847222222222;-39.412777777778;2022;11;36.5;0.0;0.0;0.0;0.0;0.0;0.0;34.5;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Tururu;BATATAS;-3.4847222222222;-39.412777777778;2022;12;22.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;15.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
Tururu;BATATAS;-3.4847222222222;-39.412777777778;2023;1;117.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;1.0;2.0;1.0;1.0;11.6;1.0;0.0;3.6;10.2;47.0;4.6;0.0;0.0;5.0;4.8;11.0
Tururu;BATATAS;-3.4847222222222;-39.412777777778;2023;2;173.4;15.4;5.0;24.4;0.0;0.0;2.0;0.0;7.0;0.0;5.2;6.6;0.0;1.0;4.0;16.4;9.0;4.0;0.0;0.0;2.4;0.0;0.0;35.2;23.4;8.0;0.0;4.4;999.0;888.0;888.0;888.0
